Station ID	Station Code	Station name	Region	Date	Month	Depth1	Depth2	E4/E6	HI	SR	SAR(UV)	UVABS254(filtrert+ufiltrert)	E2/E3	SAR(VIS)	Total CDOM absorbtion	UVABS410(filtrert+ufiltrert)	sUVa 254	UVABS360(filtrert)	UVABS365(filtrert+ufiltrert)	sVISa 410	Farge	S275-295
29821	HOREVOS	Vosso (Bolstadelvi)	North sea	02.03.2020 11:00	3	0	0	9.288	0.71	0.742	9.44	0.047	4.88	20.702	800.433	0.004	3.638	0.01	0.01	0.324	8.146	-0.014
29821	HOREVOS	Vosso (Bolstadelvi)	North sea	14.04.2020 18:15	4	0	0	8.346	0.71	0.773	8.921	0.055	4.781	12.664	940.708	0.005	4.594	0.013	0.012	0.433	10.05	-0.014
29821	HOREVOS	Vosso (Bolstadelvi)	North sea	04.05.2020 12:55	5	0	0	8.496	0.708	0.786	8.96	0.052	4.857	15.551	885.695	0.005	4.343	0.012	0.011	0.401	9.315	-0.014
29821	HOREVOS	Vosso (Bolstadelvi)	North sea	02.06.2020 10:05	6	0	0	4.158	0.71	0.804	8.635	0.046	4.72	8.967	796.397	0.005	3.871	0.011	0.01	0.378	8.777	-0.014
29821	HOREVOS	Vosso (Bolstadelvi)	North sea	06.07.2020 12:30	7	0	0	5.822	0.727	0.777	8.089	0.044	4.459	11.02	787.158	0.005	3.171	0.011	0.01	0.33	8.947	-0.013
29821	HOREVOS	Vosso (Bolstadelvi)	North sea	03.08.2020 10:45	8	0	0	4.973	0.71	0.834	8.08	0.03	4.546	8.477	530.09	0.003	4.055	0.007	0.007	0.426	6.177	-0.014
29821	HOREVOS	Vosso (Bolstadelvi)	North sea	21.09.2020 11:40	9	0	0	10.802	0.725	0.745	8.495	0.064	4.575	18.804	1112.495	0.006	3.346	0.015	0.014	0.332	12.206	-0.013
29821	HOREVOS	Vosso (Bolstadelvi)	North sea	06.10.2020 11:40	10	0	0	67.7	0.713	0.73	9.617	0.044	4.95	50.867	744.197	0.004	3.387	0.01	0.009	0.292	7.345	-0.014
29821	HOREVOS	Vosso (Bolstadelvi)	North sea	02.11.2020 12:40	11	0	0	7.324	0.725	0.753	8.131	0.066	4.508	10.483	1169.798	0.007	4.421	0.016	0.015	0.459	13.332	-0.013
29821	HOREVOS	Vosso (Bolstadelvi)	North sea	08.12.2020 14:00	12	0	0	7.88	0.723	0.734	8.368	0.055	4.56	13.229	966.195	0.006	4.241	0.013	0.012	0.431	10.848	-0.013
29822	MROEDRI	Driva	Norwegian sea	06.01.2020 11:00	1	0	0	5.073	0.71	0.82	8.271	0.069	4.649	8.793	1193.25	0.007	3.636	0.016	0.015	0.377	13.851	-0.013
29822	MROEDRI	Driva	Norwegian sea	03.02.2020 16:00	2	0	0	-2.368	0.678	0.812	11.686	0.035	5.851	-15.646	549.905	0.002	3.191	0.007	0.006	0.22	4.69	-0.016
29822	MROEDRI	Driva	Norwegian sea	02.03.2020 08:00	3	0	0	4.418	0.677	0.872	11.35	0.034	5.801	8.26	532.804	0.003	2.828	0.006	0.006	0.211	4.892	-0.016
